id,object,category,distance,disk_major_axis,inclination,catalog
59,2MASSI J1628137-243139,TT,140,4.3,86,resolved
60,49 Cet,Debris,59,9.8,79,resolved
61,61 Vir,Debris,8.5,22,77,resolved
62,99 Her,Debris,15.6,15.4,50,resolved
63,[MR81] H alpha 17 NE,TT,130,0.38,20,resolved
64,AA Tau,TT,140,2.3,75,resolved
65,AB Aur,HAe,144,18,22,resolved
66,alpha CrB,Debris,23,4,80,resolved
67,AS 205A,TT,128,0.414,20,resolved
68,AS 209,TT,121,2.3,35,resolved
69,ASR 41,TT,316,20,80,resolved
70,AU Mic,Debris,9.94,29.25,90,resolved
71,beta Leo,Debris,11.1,7.1,32,resolved
72,beta Pictoris,Debris,19.3,26,90,resolved
73,beta Tri,Debris,38.9,5.6,41,resolved
74,beta UMa,Debris,24.3,3.8,84,resolved
75,BP Psc,TT,100,1.2,75,resolved
76,BP Tau,TT,140,1.5,30,resolved
77,CAHA J23056+6016,YSO?,3500,3,10,resolved
78,CB 26,YSO,140,5.5,88,resolved
79,CI Tau,TT,140,1.7,46,resolved
80,CoKu Tau 1,TT,140,6.4,,resolved
81,CQ Tau,TT,100,2.9,33,resolved
82,CRBR 2422.8-3423,YSO,125,1.5,70,resolved
83,CY Tau,TT,140,3.8,30,resolved
84,DG Tau,TT,140,0.4,31,resolved
85,DG Tau B,TT,140,3.93,75,resolved
86,DL Tau,TT,140,7.4,35,resolved
87,DM Tau,TT,140,11.4,32,resolved
88,DN Tau,TT,140,0.5,77,resolved
89,DO Tau,TT,140,5.1,42,resolved
90,DoAr 25,TT,138,2.4,67,resolved
91,DoAr 28,TT,139,0.75,50,resolved
92,DoAr 44,TT,125,1.28,35,resolved
93,DQ Tau,TT,140,0.24,35,resolved
94,DR Tau,TT,140,0.6,67,resolved
95,Elias 2-24,TT,136,2,29,resolved
96,Elias 2-27,YSO,140,4.3,56,resolved
97,epsilon Eri,Debris,3.22,43,34,resolved
98,ESO Halpha 569,YSO,160,0.8,83,resolved
99,eta Crv,Debris,18.2,16.7,35,resolved
100,FN Tau,TT,140,1.8,0,resolved
