Id,Object,Category,SpecType,Rband,Distance,DiskMajorAxis,Inclination,RA,DEC,SystemAge,StellarMass,References
1,2MASSI J1628137-243139,TT,,17.7,140,4.3,86,16 28 13.70,-24 31 39.0,,,
2,49 Cet,Debris,A1,5.6,59,9.8,79,01 34 37.78,-15 40 34.9,,,
3,61 Vir,Debris,G7V,4.2,8.5,22,77,13 18 24.31,-18 18 40.3,,,
4,99 Her,Debris,F7+K4,4.7,15.6,15.4,50,18 07 01.54,+30 33 43.7,,,
5,[MR81] H alpha 17 NE,TT,M2e,16.9,150,0.38,20,19 10 43.4,-36 59 09,,,
6,AA Tau,TT,M0,11.8,140,2.3,75,04 34 55.42,+24 28 53.2,,,
7,AB Aur,HAe,A0e,7.1,144,18,22,04 55 45.93,+30 33 03.6,,,
8,alpha CrB,Debris,A0 V,2.2,23,4,80,15 34 41.27,+26 42 52.9,,,
9,AS 205 A,TT,K0,12.8,128,0.414,20,16 11 31.36,-18 38 25.3,,,
10,AS 205 B,TT,K7+M0,14,128,0.19,66,16 11 31.30,-18 38 27.3,,,
11,AS 209,TT,K5,10.4,121,2.3,35,16 49 15.31,-14 22 08.6,,,
12,ASR 41,TT,,,316,20,80,03 28 51.32,+31 17 40.0,,,
13,AU Mic,Debris,M1,8.9,9.94,29.25,90,20 45 09.53,-31 20 27.2,,,
14,beta Leo,Debris,A3V,2,11.1,7.1,32,11 49 03.58,+14 34 19.4,,,
15,beta Pictoris,Debris,A5,3.9,19.3,26,90,05 47 17.09,-51 03 59.5,,,
16,beta Tri,Debris,A5 III,2.9,38.9,5.6,41,02 09 32.63,+34 59 14.3,,,
17,beta UMa,Debris,A1V,2.3,24.3,3.8,84,11 01 50.48,+56 22 56.7,,,
18,BP Psc,TT,,12.2,100,1.2,75,23 22 24.69,-02 13 41.4,,,
19,BP Tau,TT,K7,11.1,140,1.5,30,04 19 15.84,+29 06 26.9,,,
20,CAHA J23056+6016,YSO?,,,3500,3,10,23 05 37.52,+60 15 45.8,,,
21,CB 26,YSO,,,140,5.5,88,04 59 50.74,+52 04 43.8,,,
22,CI Tau,TT,K7,12.3,158,2.2,50,04 33 52.00,+22 50 30.2,,,
23,CIDA 9,TT,M4,14.5,171,0.46,46,05 05 22.86,+25 31 31.2,,,
24,CoKu Tau 1,TT,M0,16.8,140,6.4,,04 18 51.50,+28 20 28.0,,,
25,CQ Tau,TT,F2,8.9,100,2.9,33,05 35 58.47,+24 44 54.1,,,
26,CRBR 2422.8-3423,YSO,,,125,1.5,70,16 27 24.61,-24 41 03.4,,,
27,CY Tau,TT,M1,12.5,140,3.8,30,04 17 33.73,+28 20 47.0,,,
28,DG Tau,TT,K6,11.4,140,0.4,31,04 27 04.70,+26 06 16.2,,,
29,DG Tau B,TT,,,140,3.93,75,04 27 02.55,+26 05 30.9,,,
30,DL Tau,TT,K7,11.8,159,1.23,45,04 33 39.07,+25 20 38.1,,,
31,DM Tau,TT,M1,12.1,140,11.4,32,04 33 48.73,+18 10 10.0,,,
32,DN Tau,TT,M0,11.5,128,0.88,35,04 35 27.37,+24 14 59.1,,,
33,DO Tau,TT,M0,12.3,140,5.1,42,04 38 28.57,+26 10 49.4,,,
34,DoAr 25,TT,K7,12.7,138,2.4,67,16 26 23.68,-24 43 13.9,,,
35,DoAr 28,TT,K5,12.1,139,0.75,50,16 26 47.42,-23 14 52.2,,,
36,DoAr 33,TT,K4,13.2,139,0.39,42,16 27 39.01,-23 58 18.7,,,
37,DoAr 44,TT,K5,11.7,125,1.28,35,16 31 33.46,-24 27 37.3,,,
38,DQ Tau,TT,M0 V,13.2,140,0.24,35,04 46 53.06,+17 00 00.1,,,
39,DR Tau,TT,K4,13.6,140,0.6,67,04 47 06.22,+16 53 23.5,,,
40,DS Tau,TT,M0,12.4,159,0.85,65,04 47 49.00,+29 25 11.2,,,
41,Elias 2-20,TT,M0,19.4,138,0.93,49,16 26 18.88,-24 28 19.7,,,
42,Elias 2-24,TT,K5.5,15.8,136,2,29,16 26 24.09,-24 16 13.3,,,
43,Elias 2-27,YSO,M0,,140,4.3,56,16 26 45.03,-24 23 07.8,,,
44,epsilon Eri,Debris,K2,3.8,3.22,43,34,03 32 55.84,-09 27 29.7,,,
45,ESO Halpha 569,YSO,M2.5,19.7,160,0.8,83,11 11 10.83,-76 41 57.4,,,
46,eta Crv,Debris,F2 V,4.4,18.2,16.7,35,12 32 04.23,-16 11 45.6,,,
47,FN Tau,TT,M5,13.7,140,1.8,0,04 14 14.59,+28 27 58.1,,,
48,Fomalhaut,Debris,A3,1.2,7.2,41,66,22 57 39.05,-29 37 20.1,,,
49,FT Tau,TT,M3,13.2,127,0.66,36,04 23 39.19,+24 56 14.4,,,
50,FW Tau C,TT,,20.9,140,1.01,63,04 29 29.71,+26 16 53.2,,,
51,gamma Dor,Debris,F1,4,20.5,12,69,04 16 01.58,-51 29 11.9,,,
52,gamma Oph,Debris,A0,3.7,29.1,36,50,17 47 53.56,+02 42 26.2,,,
53,gamma Tri,Debris,A1V,3.9,34.4,8,83,02 17 18.87,+33 50 49.9,,,
54,GG Tau,TT,K7,10.8,140,8.6,37,04 32 30.30,+17 31 41.0,,,
55,GJ 581,Debris,M3,9.5,6.4,19,59,15 19 27.51,-07 43 19.4,,,
56,GM Aur,TT,K7,11.2,140,5,54,04 55 10.98,+30 21 59.7,,,
57,GO Tau,TT,K5,13.6,140,2,66,04 43 03.08,+25 20 18.7,,,
58,GSS 39,YSO,M0,,125,3.17,60,16 26 45.06,-24 23 07.7,,,
59,GW Lup,TT,M1.5,12.7,155,1.355,39,15 46 44.73,-34 30 35.7,,,
60,Haro 6-13,YSO,M0,15,140,2.57,40,04 32 15.41,+24 28 59.7,,,
61,Haro 6-5B,YSO,K5,13.6,140,4,77,04 22 00.69,+26 57 33.3,,,
62,HD 100453,HAe,A9Ve,7.8,103,0.84,38,11 33 05.57,-54 19 28.5,,,
63,HD 100546,HAe,B9,6.7,103,7,51,11 33 25.44,-70 11 41.2,,,
64,HD 104860,Debris,F8,8,47.9,5.2,54,12 04 33.73,+66 20 11.7,,,
65,HD 10647,Debris,F8 V,5.5,17.35,37,52,01 42 29.32,-53 44 27.0,,,
66,HD 106906,Debris,F5,8.24,92,2.11,85,12 17 53.19,-55 58 31.9,,,
67,HD 107146,Debris,G2,6.7,27.5,16,18,12 19 06.50,+16 32 53.9,,,
68,HD 10939,Debris,A1V,5.12,57,5.6,32,01 46 06.26,-53 31 19.3,,,
69,HD 110058,Debris,A0,7.99,107,2.24,50,12 39 46.20,-49 11 55.5,,,
70,HD 111520,Debris,F5 V,9.27,108,2.15,88,12 50 19.72,-49 51 49.0,,,
71,HD 112810,Debris,F3,9.51,143,1.96,83,12 59 59.89,-50 23 22.5,,,
72,HD 113766,Debris,F3/5,7.96,123,1.13,70,13 06 35.84,-46 02 02.0,,,
73,HD 114082,Debris,F3V,8.58,92,0.62,83,13 09 16.19,-60 18 30.1,,,
74,HD 115600,Debris,F2,8.57,110.5,0.99,79,13 19 19.54,-59 28 20.4,,,
75,HD 117214,Debris,F6V,7.6,108,0.84,71,13 30 08.97,-58 29 04.4,,,
76,HD 129590,Debris,G1V,9.86,133,1.65,74.56,14 44 30.96,-39 59 20.6,,,
77,HD 131835,Debris,A2IV,7.95,120,3.5,75.1,14 56 54.47,-35 41 43.7,,,
78,HD 135344B,HAe,F4Ve,8.7,140,1.15,20,15 15 48.44,-37 09 16.0,,,
79,HD 138813,Debris,A0,7.32,151,1.85,28,15 35 16.11,-25 44 03.0,,,
80,HD 138965,Debris,A1V,6.51,77.3,4.8,37,15 40 11.56,-70 13 40.4,,,
81,HD 139664,Debris,F5 IV-V,4.7,17.5,12,87,15 41 11.38,-44 39 40.3,,,
82,HD 141378,Debris,A5IV,5.61,49.2,4.8,15,15 48 56.80,-03 49 06.6,,,
83,HD 141569A,Trans,B9.5,7.1,99,7.5,51,15 49 57.76,-03 55 16.2,,,
84,HD 141943,Debris,G2V,7.5,67,5,85,15 53 27.29,+15 50 02.4,,,
85,HD 142446,Debris,F3V,9.32,144,2.5,20,15 56 05.63,-36 53 34.3,,,
86,HD 142527,HAe,F6,8.4,140,7,30,15 56 41.89,-42 19 23.3,,,
87,HD 142666,TT,A8,8.3,148,0.8,62,15 56 40.02,-22 01 40.0,,,
88,HD 143006,TT,G7,9.6,165,1,19,15 58 36.91,-22 57 15.2,,,
89,HD 145560,Debris,F5,9.3,134,1.84,53,16 13 34.33,-45 49 03.7,,,
90,HD 146181,Debris,F6,9.56,146,1.41,79,16 16 28.37,-38 44 12.4,,,
91,HD 150193A,HAe,A2 IV,8.9,150,2.6,38,16 40 17.92,-23 53 45.2,,,
92,HD 15115,Debris,F2,6.8,45,19.8,80,02 26 16.25,+06 17 33.1,,,
93,HD 153053,Debris,A5IV,5.72,50.7,7.4,37,17 00 06.28,-54 35 49.8,,,
94,HD 156623,Debris,A0V,7.28,118,2.54,30,17 20 50.62,-45 25 14.5,,,
95,HD 15745,Debris,F2,7.5,64,7.5,52,02 32 55.81,+37 20 01.4,,,
96,HD 157587,Debris,F5V,8.1,107,1.5,70,17 24 52.24,-18 51 33.2,,,
97,HD 159492,Debris,A5IV,5.33,42.2,5.4,40,17 38 05.52,-54 30 01.6,,,
98,HD 163296,HAe,A1e,6.9,101,7.4,48,17 56 21.26,-21 57 21.6,,,
99,HD 166,Debris,K0Ve,5.6,13.7,4.2,21,00 06 36.78,+29 01 17.4,,,
100,HD 16743,Debris,F0,6.86,58.9,12.56,54.2,02 39 07.56,-52 56 05.3,,,
101,HD 169142,HAe,A5,8.2,117,3,0,18 24 29.78,-29 46 49.4,,,
102,HD 170773,Debris,F5,6.67,37,23.51,31.2,18 33 00.92,-39 53 31.3,,,
